積む,"",Chất đống,つむ
点数,"ĐIỂM SỔ, SỐ, SÁC, XÚC",điểm số,てんすう
進める,TIẾN,thúc đẩy; xúc tiến,すすめる
向く,"","Đối diện với, quay mặt về phía",むく
身近,"THÂN, QUYÊN CẬN, CẤN, KÍ",sự thân cận,みぢか
広がる,"",Mở rộng,ひろがる
広める,"","Tuyên truyền, truyền bá",ひろめる
建設,"KIẾN, KIỂN THIẾT","sự kiến thiết,sự xây dựng",けんせつ
人物,NHÂN VẬT,"nhân vật,con người,một cá nhân,người có tài năng,nhân vật quan trọng",じんぶつ
用法,DỤNG PHÁP,cách dùng,ようほう
程度,TRÌNH ĐỘ,Trình độ,ていど
態度,"THÁI ĐỘ, ĐẠC","phong độ ,
điệu bộ ,
dáng bộ ,
cử chỉ ,
bộ tịch ,
bộ dạng ,
bộ dáng",たいど
描写,MIÊU ẢNH,"Sự phác họa, sự miêu tả",びょうしゃ
街,"","Phố phường, phố xá",まち
譲る,NHƯỢNG,"Nhượng bộ, chuyển nhượng",ゆずる
能力,NĂNG LỰC,Năng lực,のうりょく
造る,TẠO,tạo ra; chế tạo,つくる
含む,"","Ngậm, bao gồm",ふくむ
含める,"","Bao gồm, khoan dung",ふくめる
希望,HY VỌNG,"Hi vọng, kì vọng",きぼう
硬い,"",Cứng,かたい
職歴,CHỨC,kinh nghiệm công tác,しょくれき
診断,"CHẨN ĐOẠN, ĐOÁN",sự chẩn đoán/chuẩn đoán,しんだん
理想,LÍ TƯỞNG,lý tưởng,りそう
宣伝,TUYÊN TRUYỀN,sự tuyên truyền/thông tin tuyên truyền/sự công khai,せんでん
驚く,"",Bị ngạc nhiên,おどろく
日程,NHẬT TRÌNH,"Lịch trình, nhật trình",にってい
全国,TOÀN QUỐC,"toàn quốc ,
khắp nước",ぜんこくぜんごく
知人,TRI NHÂN,quen mặt,ちじん
友人,HỮU NHÂN,bạn thân,ゆうじん
年齢,NIÊN LINH,Tuổi,ねんれい
本気,BẢN KHÍ,"đúng đắn,nghiêm chỉnh",ほんき
学歴,HỌC LỊCH,"quá trình học hành,bằng cấp",がくれき
話題,THOẠI ĐỀ,"Chủ đề, tiêu đề",わだい
長女,"TRƯỜNG, TRƯỞNG, TRƯỚNG NỮ, NỨ, NHỮ","con gái lớn,trưởng nữ",ちょうじょ
若者,NHƯỢC GIẢ,"Thanh niên, giới trẻ",わかもの
面倒,DIỆN ĐẢO,sự phiền hà/sự quấy rầy,めんどう
煙,"",Khói,けむり
固い,"","Bền, cứng",かたい
幼い,"","Còn nhỏ, non nớt",おさない
酸素,TOAN TỐ,ôxy,さんそ
壊れる,"",Làm hư (vỡ),こわれる
隠す,ẨN,"Trốn, dấu, lánh mình",かくす
自己,TỰ KỈ,tự kỷ,じこ
食堂,THỰC ĐƯỜNG,Nhà ăn,しょくどう
内容,NỘI DUNG,nội dung,ないよう
役立つ,DỊCHLẬP,có ích; có tác dụng; phục vụ mục đích,やくだつ
試す,THÍ,thử; thử nghiệm,ためす
生年月日,"",ngày tháng năm sinh .,せいねんがっぴ
出身地,"",nơi sinh; sinh quán,しゅっしんち
消防士,"",lính cứu hỏa,しょうぼうし
唐辛子,"",ớt,とうがらし
嘘をつく,"",nói phách .,うそをつく
気の強い,"","strong-willed, strong of heart",きのつよい
欧米人,"",europeans và người mỹ; những người phương tây,おうべいじん
ぼうっと,"","doing nothing, being stupefied, flushingly, abstractedly, dazedly, blankly, dreamily",ぼうっと
職種,"",loại công việc; loại nghề nghiệp,しょくしゅ
販売する,"",bán .,はんばいする
世話を焼く,"",tới sự bực mình; để can thiệp; để thò (chọc) một có cái mũi (vào trong (kẻ) khác có doanh nghiệp),せわをやく
訳す,"",dịch .,やくす
繰り返す,"",lập lại,くりかえす
例を挙げる,"",để trích dẫn một ví dụ,れいをあげる
取り敢えず,"",lập tức,とりあえず
汚れ,"",bẩn; vệt bẩn,よごれ
たった,"","single, solo, solitary, just one, only one",たった
第三者,"",người thứ ba; người không liên quan .,だいさんしゃ
込み,"","including, inclusive of",こみ
税,"",thuế .,ぜい
修理する,"",sửa chữa,しゅうりする
