音楽,おんがく,âm nhạc,"ÂM NHẠC,LẠC",12
音楽,おんがく,âm nhạc,"ÂM NHẠC,LẠC",12
発音,はつおん,phát âm,PHÁT ÂM,12
録音,ろくおん,máy thu âm,LỤC ÂM,12
音量,おんりょう,thể tích,ÂM LƯỢNG,12
母音,ぼいん,nguyên âm,MẪU ÂM,12
子音,しいん,phụ âm,TỬ ÂM,12
本音,ほんね,bất ý,BỔN ÂM,12
歌,うた,bài hát,CA,12
歌う,うたう,hát,CA,12
歌手,かしゅ,ca sĩ,CA THỦ,12
歌詞,うたことば,lời bài hát,CA TỪ,12
短歌,たんか,tanka,ĐOẢN CA,12
国家,こっか,quốc gia,QUỐC GIA,12
校歌,こうか,bài hát của trường,GIÁO CA,12
自転車,じてんしゃ,xe đạp,TỰ CHUYỂN XA,12
運転,うんてん,lái xe,VẬN CHUYỂN,12
運転手,うんてんしゅ,người lái xe,VẬN CHUYỂN THỦ,12
転ぶ,ころぶ,rơi xuống,CHUYỂN,12
転がる,ころがる,cuộn,CHUYỂN,12
回転寿司,かいてんずし,rotation sushi,"HỒI CHUYỂN  TI,TƯ",12
転職,てんしょく,thay đổi nghề nghiệp,CHUYỂN CHỨC,12
転校,てんこう,thay đổi trường học,CHUYỂN GIÁO,12
写真,しゃしん,ảnh,TẢ CHÂN,12
写す,うつす,bản sao,TẢ,12
写真家,しゃしんか,nhiếp ảnh gia,TẢ CHÂN GIA,12
写生,しゃせい,chân dung,"TẢ SANH,SINH",12
複写,ふくしゃ,bản sao,PHỨC TẢ,12
描写する,びょうしゃする,miêu tả để,MIÊU TẢ,12
写実主義,しゃじつしゅぎ,chủ nghĩa hiện thực,TẢ THỰC CHỦ NGHĨA,12
二台,にだい,hai đơn vị,NHỊ THAI,12
台所,だいどこ,nhà bếp,THAI SỞ,12
台風,たいふう,bão,THAI PHONG,12
台,うてな,nền tảng,THAI,12
舞代,まいだい,vô giá,VŨ ĐẠI,12
台湾,たいわん,đài loan,THAI LOAN,12
台本,だいほん,nhạc kịch,THAI BỔN,12
中央,ちゅうおう,trung tâm,TRUNG ƯƠNG,12
中央線,ちゅうおうせん,đường trung tâm,TRUNG ƯƠNG TUYẾN,12
中央集権,ちゅうおうしゅうけん,tập trung,TRUNG ƯƠNG TẬP QUYỀN,12
映画,えいが,phim,ÁNH HỌA,12
漫画,まんが,hoạt họa,MẠN HỌA,12
