ひつよう,điều tất yếu,"TẤT YẾU, YÊU",必要,
しじ,sự chỉ thị/sự chỉ dẫn,"CHỈ KÌ, THỊ",指示,
すく,Bỏ trống,"",空く,
かだい,"chủ đề,đề tài,nhiệm vụ,thách thức",KHÓA ĐỀ,課題,
たいちょう,sự điều tra tình trạng cơ thể,THỂ ĐIỀU,体調,
たいりょく,thể nghiệm,THỂ LỰC,体力,
ひょうじ,"Phô trương, vạch ra",BIỂU THỊ,表示,
もとめる,"Tìm kiếm, yêu cầu","",求める,
かんり,"sự quản lí,sự bảo quản,quản lý,bảo quản",QUẢN LÍ,管理,
しんせん,tươi/mới,"TÂN TIÊN, TIỂN",新鮮,
しょうさい,"Chi tiết, tường tận, tỉ mỉ",TƯỜNG TẾ,詳細,
しょくぎょう,Nghề nghiệp,CHỨC NGHIỆP,職業,
せいかい,"sự giải thích đúng,sự giải thích chính xác",CHÍNH GIẢI,正解,
きょか,"Sự bằng lòng, sự cho phép",HỨA KHẢ,許可,
しょせき,Cuốn sách,THƯ TỊCH,書籍,
しょうかい,Sự giới thiệu,THIỆU GIỚI,紹介,
ほうりつ,Luật pháp,PHÁP LUẬT,法律,
にゅうよく,Đi tắm,NHẬP DỤC,入浴,
うかがう,"Thăm hỏi, dò xét","",伺う,
じょうぶ,"Chắc, bền, khỏe, không sao",TRƯỢNG PHU,丈夫,
たすける,Cứu giúp,"",助ける,
とうぜん,sự đương nhiên/sự dĩ nhiên,"ĐƯƠNG, ĐANG, ĐÁNG NHIÊN",当然,
こくないこくだいくぬち,"trong nước,quốc nội","QUỐC NỘI, NẠP",国内,
こじん,"cá nhân,cá thể",CÁ NHÂN,個人,
ろうじん,người già,LÃO NHÂN,老人,
じゅうぶん,Đầy đủ,THẬP PHÂN,十分,
じさ,sự chênh lệch về thời gian,"THÌ, THỜI SOA, SI, SAI, SÁI",時差,
ひじょう,"Cực kỳ, đặc biệt",PHI THƯỜNG,非常,
うかぶ,"Nổi, trôi nổi","",浮かぶ,
はなす,"Chia, tránh xa","",離す,
しゅうしょく,Tìm việc làm,TỰU CHỨC,就職,
かくす,"Trốn, dấu, lánh mình","",隠す,
ふくしゅう,sự ôn tập,"PHỤC, PHÚC TẬP",復習,
はっきり,hiểu rõ .,"",はっきり,
ききとる,nghe hiểu,"",聞き取る,
うりば,nơi bán hàng hóa,"",売り場,
うまく,"skilfully, skillfully, well, aptly, cleverly","",上手く,
きわめて,cực kỳ; rất; vô cùng; đặc biệt; hết sức,"",極めて,
しゅくがかい,"sự kỷ niệm; lễ kỷ niệm, sự tán dương, sự ca tụng","",祝賀会,
たちしりぞき,"sự đuổi  (khỏi nhà ở, đất đai...)","",立ち退き,
しっかり,chắc chắn; chặt; đáng tin cậy; đứng đầu mức; làm vững vàng,"",聢り,
けれど,nhưng; tuy nhiên,"",けれど,
さんにゅう,đến; đi thăm hỏi; đi,"",参入,
じゅうぎょう,"sự dùng, sự thuê làm, sự làm công, việc làm","",従業,
くわしく,"chủ tâm, cố ý, có dụng ý, hiểu biết, tính khôn, ranh mãnh","",詳しく,
