"一(nhất) - hito_tsu, ichi, itsu","ひと_つ, イチ, イツ",一,một,nhất,Một được biểu diễn bởi một ngón tay,1
"二(nhị) - futa, ni","ふた, ニ",二,hai,nhị,Hai được biểu diễn bởi hai ngón tay,1
"三(tam) - mi, mitsu, san","み, みつ, サン",三,ba,tam,Ba được biểu diễn bởi ba ngón tay,1
"四(tứ) - yo, yotsu, shi","よ, よつ, シ",四,bốn,tứ,Một hình chữ nhật thì có bốn góc,1
"五(ngũ) - itsutsu, go","いつつ, ゴ",五,năm,ngũ,Có thể làm chữ kanji với năm que diêm không?,1
"六(lục) - mu, mutsu, mui, roku","む, むつ, むい, ロク",六,sáu,lục,Đây là cách người trung quốc thể hiện sáu với những ngón tay của họ,1
"七(thất) - nana, nano, shichi","なな, なの, シチ",七,bảy,thất,Hai cộng với năm bằng bảy,1
"八(bát) - ya, yatsu, hachi","や, やつ, ハチ",八,tám,bát,Nó giống như chữ kantakana　ハ giống như là 八チ(tám).,1
"九(cửu) - kokono_tsu, kyuu, ku","ここの_つ, キュウ, ク",九,chín,cửu,"Bạn có thể đếm đến mười? Bảy, tám, chín  .. Không.",1
"十(thập) - to_u, juu, jih!","と_う, ジュウ, ジッ",十,mười,thập,Kết hợp 2 ngón tay để tạo thành mười,1
"百(bách) - , hyaku",", ヒャク",百,trăm,bách,"Quay số "" 100 "" 90 độ về bên phải và nó có vẻ như 百",1
"千(thiên) - chi, sen","ち, セン",千,nghìn,thiên,"Thêm ノ đến 10 (十) để tạo ra  ngàn , một số lượng lớn hơn.",1
"万(vạn) - , man, ban",", マン, バン",万,vạn,vạn,10.000 (vạn) là một con số có 5 chữ số,1
"円(viên) - maru_i, en","まる_い, エン",円,"yên,vòng tròn",viên,Đây là thể hiển của 1 vòng tròn,1
"口(khẩu) - kuchi, koo, ku","くち, コオ, ク",口,miệng,khẩu,Đây là thể hiện của một cái mồm,1
"目(mục) - me, moku, boku","め, モク, ボク",目,mắt,mục,Đây là thể hiện của một cái mắt,1
"日(nhật) - hi, ka, nichi, jitsu","ひ, か, ニチ, ジツ",日,"ngày,mặt trời",nhật,Đây là thể hiện của mặt trời,2
"月(nguyệt) - tsuki, getsu, gatsu","つき, ゲツ, ガツ",月,"tháng,mặt trăng",nguyệt,Đây là thể hiện của  mặt trăng,2
"火(hỏa) - hi, ho, ka","ひ, ほ, カ",火,lửa,hỏa,Đây là thể hiện của một ngọn lửa,2
"水(thủy) - mizu, sui","みず, スイ",水,nước,thủy,Nước bắn rơi xung quanh,2
"木(mộc) - ki, ko, boku, moku","き, こ, ボク, モク",木,cây,mộc,Đây là thể hiện của một cái cây,2
"金(kim) - kane, kana, kin, kon","かね, かな, キン, コン",金,vàng,kim,Mọi người nói rằng có vàng ở dưới núi,2
"土(thổ) - tsuchi, do, to","つち, ド, ト",土,đất,thổ,Một mầm nụ trồi ra từ đất,2
"曜(diệu) - , yoo",", ヨオ",曜,ngày mới,diệu,"Bắt đầu của một ngày,những con chim hót ""piyo-piyo""",2
