候補,HẬU BỔ,Sự ứng cử,こうほ
以降,"DĨ HÀNG, GIÁNG",sau đó/từ sau đó/từ sau khi,いこう
必要,"TẤT YẾU, YÊU",điều tất yếu,ひつよう
実際,THỰC TẾ,"Thực, thực tế",じっさい
画像,HỌA TƯỢNG,"hình ảnh,hình tượng,tranh",がぞう
明確,MINH XÁC,sự rõ ràng và chính xác/sự minh xác,めいかく
運用,VẬN DỤNG,"sự vận dụng,việc vận dụng",うんよう
現状,HIỆN TRẠNG,hiện trạng/tình trạng hiện tại/tình trạng/tình hình,げんじょう
登録,ĐĂNG LỤC,"Sự đăng ký, sổ đăng ký",とうろく
完璧,HOÀN BÍCH,Hoàn hảo,かんぺき
操作,THAO TÁC,"sự thao tác, sự vận dụng khéo léo",そうさ
無視,VÔ THỊ,"Xem thường, phớt lờ",むし
譲る,NHƯỢNG,"Nhượng bộ, chuyển nhượng",ゆずる
通過,"THÔNG QUÁ, QUA",sự vượt qua/sự đi qua,つうか
業務,NGHIỆP VỤ,Nghiệp vụ,ぎょうむ
改革,"CẢI CÁCH, CỨC",cải cách,かいかく
案件,ÁN KIỆN,"Vụ việc, vấn đề",あんけん
結構,KẾT CẤU,tạm được/tương đối/kha khá/đủ/được/cũng được,けっこう
優先,ƯU TIÊN,Ưu tiên,ゆうせん
技術,KỸ THUẬT,Kỹ thuật,ぎじゅつ
追加,TRUY GIA,thêm vào,ついか
前回,TIỀN HỒI,Lần trước,ぜんかい
今回,KIM HỒI,Lần này,こんかい
導入,ĐẠO NHẬP,"sự đưa vào (sử dụng, áp dụng.v.v...),sự giới thiệu",どうにゅう
要望,YẾU VỌNG,"Mong ước, nguyện ước",ようぼう
非常,PHI THƯỜNG,"Cực kỳ, đặc biệt",ひじょう
連携,LIÊN HUỀ,sự hợp tác/sự cộng tác/sự chung sức,れんけい
繋ぐ,"",buộc vào; thắt .,つなぐ
仕組み,SĨTỔ,cơ cấu; tổ chức; cơ chế .,しくみ
落ち着く,"",bình tĩnh; điềm tĩnh; kiềm chế; thanh thản; yên lòng,おちつく
実装,"",gói; sự thi hành; sự cất đặt; sự lồng vào ((của) thiết bị),じっそう
手戻り,"","rework, return, send back, refactor",てもどり
別件,"",phân ra trường hợp(kẻ) khác quan trọng,べっけん
マネジメント,"",cost management,マネジメント
そんなことないですよ,"","How dare you!, How can you have the nerve?",そんなことないですよ
配信,"",phân phối,はいしん
