一,"ひと_つ, イチ, イツ",một,nhất,Một được biểu diễn bởi một ngón tay,1
二,"ふた, ニ",hai,nhị,Hai được biểu diễn bởi hai ngón tay,1
三,"み, みつ, サン",ba,tam,Ba được biểu diễn bởi ba ngón tay,1
四,"よ, よつ, シ",bốn,tứ,Một hình chữ nhật thì có bốn góc,1
五,"いつつ, ゴ",năm,ngũ,Có thể làm chữ kanji với năm que diêm không?,1
六,"む, むつ, むい, ロク",sáu,lục,Đây là cách người trung quốc thể hiện sáu với những ngón tay của họ,1
七,"なな, なの, シチ",bảy,thất,Hai cộng với năm bằng bảy,1
八,"や, やつ, ハチ",tám,bát,Nó giống như chữ kantakana　ハ giống như là 八チ(tám).,1
九,"ここの_つ, キュウ, ク",chín,cửu,"Bạn có thể đếm đến mười? Bảy, tám, chín  .. Không.",1
十,"と_う, ジュウ, ジッ",mười,thập,Kết hợp 2 ngón tay để tạo thành mười,1
百,", ヒャク",trăm,bách,"Quay số "" 100 "" 90 độ về bên phải và nó có vẻ như 百",1
千,"ち, セン",nghìn,thiên,"Thêm ノ đến 10 (十) để tạo ra  ngàn , một số lượng lớn hơn.",1
万,", マン, バン",vạn,vạn,10.000 (vạn) là một con số có 5 chữ số,1
円,"まる_い, エン","yên,vòng tròn",viên,Đây là thể hiển của 1 vòng tròn,1
口,"くち, コオ, ク",miệng,khẩu,Đây là thể hiện của một cái mồm,1
目,"め, モク, ボク",mắt,mục,Đây là thể hiện của một cái mắt,1
寒,"さむ_い, カン",lạnh,hàn,"Trong một ngày  lạnh , tôi đến nhà bạn và để lại dấu chân trên tuyết.",15
日,"ひ, か, ニチ, ジツ","ngày,mặt trời",nhật,Đây là thể hiện của mặt trời,2
月,"つき, ゲツ, ガツ","tháng,mặt trăng",nguyệt,Đây là thể hiện của  mặt trăng,2
火,"ひ, ほ, カ",lửa,hỏa,Đây là thể hiện của một ngọn lửa,2
水,"みず, スイ",nước,thủy,Nước bắn rơi xung quanh,2
木,"き, こ, ボク, モク",cây,mộc,Đây là thể hiện của một cái cây,2
金,"かね, かな, キン, コン",vàng,kim,Mọi người nói rằng có vàng ở dưới núi,2
土,"つち, ド, ト",đất,thổ,Một mầm nụ trồi ra từ đất,2
曜,", ヨオ",ngày mới,diệu,"Bắt đầu của một ngày,những con chim hót ""piyo-piyo""",2
本,"もと, ホン","sách,cơ bản",bản,"Đây là gốc của 1 cái cây..Hãy đánh đấu nó với ""ー""",2
人,"ひと, ジン, ニン",người,nhân,Một người đang đứng với hai chân,2
今,"いま, コン, キン",bây giờ,kim,Bạn đang làm gì bây giờ?,2
寺,"てら, ジ",đền,tự,"Nhìn kia,có một ngôi đền trên mặt đất",2
時,"とき, ジ",thời gian,thời,"Trong ngày,mọi người thường đánh chuông ở trong một cái đền để thông báo thời gian",2
半,"なか_ば, ハン",nửa,bán,"Hãy cắt 3 đoạn thẳng làm hai nửa,tuy nhiên chỉ đoạn thẳng đầu tiên bị đứt ",2
刀,"かたな, トオ","kiếm,dao",đao,Đây là thể hiện của một thanh kiếm,2
分,"わ_ける, ブン, フン, ブ","phút,chia",phân,Hãy chia ra.Nó sẽ thành nửa với một con dao,2
上,"あ_げる, うえ, かみ, の_ぼす, ジョオ, ショオ",trên,thượng,Đây là bên trên của một dòng,3
下,"した, しも, もと, くだ_る, さげ_る, おろ_す, カ, ゲ",dưới,hạ,Đây là bên dưới của một dòng,3
中,"なか, チュウ","giữa,trung tâm",trung,Đây là giữa của một vòng tròn,3
外,"はず_す, ガイ, ゲ",ngoài,ngoại,Bạn nên hút thuốc(トバコ) bên ngoài,3
右,"みぎ, ウ, ユウ",phải,hữu,Tôi ăn với tay phải của tôi,3
工,", コオ, ク",thủ công,công,Đây là hình dạng của cái thước của người thợ thủ công,3
左,"ひだり, サ",trái,tả,Tôi đo thước với tay trái của tôi,3
前,"まえ, ゼン",trước,tiền,Tôi chuẩn bị cho bữa tối trước khi mặt trăng lên,3
後,"のち, うし_ろ, あと, おく_れる, ゴ, コオ",sau,hậu,Một người đang đi  trở lại  trên đường phố.,3
午,", ゴ",trưa,ngọ,Chữ Kanji này có mười (十) và hai (二). Mười hai (十二) giờ là  trưa  b&gt;.,3
門,"かど, モン",cổng,môn,Đây là thể hiện của cái cổng,3
間,"あいだ, ま, カン, ケン",giữa,gian,Chúng ta có thể thấy mặt trời(日) giữa cái cổng(門).,3
東,"ひがし, トオ",đông,đông,Mặt trời (日) mọc phía đông.Có thể nhìn thấy mặt trời(日) dưới một cái cây(木).,3
西,"にし, セイ, サイ",tây,tây,Một(一) trong bốn(四) góc thì là phía tây,3
南,"みなみ, ナン, ナ",nam,nam,Hai cái cây trồng trong vườn hướng mặt về phía nam,3
北,"きた, ホク",bắc,bắc,Hai người đang quay mặt nhau bởi vì trời lạnh ở phía bắc,3
田,"た, デン","đồng,ruộng",điền,Đây là thể hiện của một cánh đồng,4
力,"ちから, リョク, リキ",sức mạnh,lực,Một người đàn ông cơ bắt thì có sức mạnh.,4
男,"おとこ, ダン, ナン",đàn ông,nam,Một người đàn ông làm việc mạnh mẽ(力) trên cánh đồng(田).,4
女,"おんな, め, ジョ, ニョ, ニョオ",đàn bà,nữ,Đây là thể hiện của người đàn bà,4
子,"ころ_す, シ, ス",trẻ con,tử,Đây là thể hiện của một đứa trẻ con,4
学,"まな_ぶ, ガク",học,học,Trẻ con(子) học trong trường.,4
生,"い_きる, う_まれる, な_える, なま, き, は_える, セイ, ショオ",sinh,sinh,Một cái cây sinh ra từ đất(土).,4
先,"さき, セン","trước,đầu",tiên,Một người đang chạy trước những người khác.,4
何,"なん, なに, カ",cái gì,hà,"Một người đang mang cái gì đó.""Đó là cái gì?""",4
父,"ちち, とう, フ",cha,phụ, Cha tôi có một bộ ria mép.,4
母,"はは, かお, ボ",mẹ,mẫu,Đây là thể hiện của một người mẹ,4
年,"とし, ネン",năm,niên,Mất một năm để gặt lúa.,4
去,"さ_る, キョ, コ","quá khứ,trước",khứ,"Tôi sống trong quá khứ b&gt;, bây giờ tôi đang bị chôn vùi trong lòng đất (土).",4
毎,", マイ",mỗi,mỗi,Mỗi người(人) có một người mẹ(母).,4
王,", オオ",vua,vương,Vị vua đang đứng,4
国,"くに, コク",đất nước,quốc,Vị vua(王) với một viên ngọc sẽ cai quản đất nước,4
見,"み_る, ケン",nhìn,kiến,"Để nhìn nhiều thứ,bạn cần một đôi mắt(目) với hai cái chân",5
行,"い-く, ゆ_く, おこな_う, コオ, ギョオ, アン",đi,"hành, hàng","Ở góc độ này,bạn phải quyết định đi đâu",5
